Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2,VelocityX,VelocityY,VelocityZ,RotationX,RotationY,RotationZ,Tempature_MPU,SideWall,FrontWall,Proximity,Positionx,Positiony,Positionz
2018-07-24,16-13-32.345,Auto,Idle,None,3.42,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.46,0.36,-0.19,0.01,0.87,32.11,-0.34,-0.52,1,1,-4.930001,0.24,22.57001,827.4799,-11.28,-10.94,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.378,Auto,Idle,None,3.4,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.24,6.41,0.36,-0.19,0,0.87,32.09,-0.34,-0.5,1,1,-5.120001,0.24,23.44001,859.5699,-11.62,-11.44,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.393,Auto,Idle,None,3.4,2.59,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.18,6.41,0.24,-0.19,0,0.87,32.09,-0.34,-0.5,1,1,-5.120001,0.24,23.44001,859.5699,-11.62,-11.44,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.480,Auto,Idle,None,3.42,2.61,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.22,6.46,0.36,-0.19,0,0.87,32.09,-0.34,-0.5,1,1,-5.120001,0.24,23.44001,859.5699,-11.62,-11.44,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.484,Auto,Idle,None,3.42,2.62,1.36,6.46,0.32,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.46,0.36,-0.19,0.01,0.87,32.08,-0.37,-0.48,1,1,-5.310001,0.25,24.31001,891.65,-11.99,-11.92,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.488,Auto,Idle,None,3.42,2.62,1.35,6.41,0.32,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.41,0.36,-0.19,0.01,0.87,32.11,-0.37,-0.47,1,1,-5.500001,0.26,25.18001,923.7599,-12.36,-12.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.493,Auto,Idle,None,3.4,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.24,6.41,0.36,-0.19,0.01,0.87,32.11,-0.37,-0.47,1,1,-5.500001,0.26,25.18001,923.7599,-12.36,-12.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.497,Auto,Idle,None,3.4,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.24,6.41,0.24,-0.19,0.01,0.87,32.11,-0.37,-0.47,1,1,-5.500001,0.26,25.18001,923.7599,-12.36,-12.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.516,Auto,Idle,None,3.41,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.24,6.41,0.36,-0.19,0.01,0.87,32.11,-0.34,-0.5,1,1,-5.690001,0.27,26.05001,955.8699,-12.7,-12.89,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.534,Auto,Idle,None,3.4,2.62,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.7,0.24,6.41,0.36,-0.19,0.01,0.87,32.11,-0.34,-0.5,1,1,-5.690001,0.27,26.05001,955.8699,-12.7,-12.89,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.549,Auto,Idle,None,3.4,2.61,1.35,6.41,0.32,1.16,NC,NC,0,0,0,0,0,0,9.7,0.22,6.41,0.36,-0.19,0.01,0.87,32.1,-0.34,-0.5,1,1,-5.880001,0.28,26.92001,987.9699,-13.04,-13.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.583,Auto,Idle,None,3.42,2.65,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.3,6.46,0.36,-0.19,0.01,0.87,32.1,-0.34,-0.5,1,1,-5.880001,0.28,26.92001,987.9699,-13.04,-13.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.604,Auto,Idle,None,3.41,2.63,1.35,6.41,0.31,1.16,NC,NC,0,0,0,0,0,0,9.85,0.26,6.41,0.24,-0.19,0.01,0.87,32.1,-0.34,-0.5,1,1,-5.880001,0.28,26.92001,987.9699,-13.04,-13.39,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.639,Auto,Idle,None,3.42,2.64,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.28,6.46,0.24,-0.19,0,0.87,32.11,-0.37,-0.52,1,1,-6.070001,0.28,27.79001,1020.08,-13.41,-13.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.657,Auto,Idle,None,3.42,2.62,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.24,6.46,0.36,-0.19,0,0.87,32.11,-0.37,-0.52,1,1,-6.070001,0.28,27.79001,1020.08,-13.41,-13.91,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.666,Auto,Idle,None,3.42,2.65,1.36,6.46,0.31,1.16,NC,NC,0,0,0,0,0,0,10,0.3,6.46,0.36,-0.19,0.01,0.87,32.12,-0.38,-0.5,1,1,-6.260001,0.29,28.66001,1052.2,-13.79,-14.41,-0.28,0,0,NC,null,null,null
2018-07-24,16-13-32.680,Auto,Idle,None,3.43,2.67,1.36,6.46,0.31,1.15,NC,NC,0,0,0,0,0,0,10.15,0.34,6.46,0.36,-0.19,0.01,0.87,32.12,-0.38,-0.5,1,1,-6.260001,0.29,28.66001,1052.2,-13.79,-14.41,-0.28,0,0,NC,null,null,null
