Date,Time,ControlMode,RobotStatus,RobotAutoControlStage,Battery1VoltsRaw,Battery1AmpsRaw,Battery2VoltsRaw,Battery2AmpsRaw,WaterLevel,TempatureRaw,CH6,CH7,LeftDriveSign,LeftDriveMag,LeftDriveEncoder,RightDriveSign,RightDriveMag,RightDriveEncoder,Battery1Volts,Battery1Amps,Battery2Volts,Battery2Amps,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,CollectionMotor1,CollectionMotor2
2018-07-22,18-58-47.468,Auto,Idle,None,3.65,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.2,0.05,1.56,243,156,-515,16,2,-515,1,1
2018-07-22,18-58-47.499,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.68,243,138,-515,16,22,-515,1,1
2018-07-22,18-58-47.513,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,138,-515,16,22,-515,1,1
2018-07-22,18-58-47.528,Auto,Idle,None,3.66,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.56,243,138,-515,16,22,-515,1,1
2018-07-22,18-58-47.572,Auto,Idle,None,3.69,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,14.05,0.24,0.05,1.56,243,142,-515,16,9,-515,1,1
2018-07-22,18-58-47.577,Auto,Idle,None,3.67,2.61,0.01,0.05,0.33,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,146,-515,16,10,-515,1,1
2018-07-22,18-58-47.592,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,146,-515,16,10,-515,1,1
2018-07-22,18-58-47.611,Auto,Idle,None,3.67,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.22,0.05,1.56,243,146,-515,16,10,-515,1,1
2018-07-22,18-58-47.639,Auto,Idle,None,3.66,2.61,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,146,-515,16,15,-515,1,1
2018-07-22,18-58-47.656,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,146,-515,16,15,-515,1,1
2018-07-22,18-58-47.671,Auto,Idle,None,3.67,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.2,0.05,1.56,243,148,-515,16,9,-515,1,1
2018-07-22,18-58-47.700,Auto,Idle,None,3.65,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.2,0.05,1.56,243,148,-515,16,9,-515,1,1
2018-07-22,18-58-47.718,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,124,-515,16,18,-515,1,1
2018-07-22,18-58-47.731,Auto,Idle,None,3.65,2.6,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.2,0.05,1.68,243,124,-515,16,18,-515,1,1
2018-07-22,18-58-47.756,Auto,Idle,None,3.68,2.62,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.24,0.05,1.68,243,124,-515,16,18,-515,1,1
2018-07-22,18-58-47.780,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.44,243,152,-515,16,8,-515,1,1
2018-07-22,18-58-47.797,Auto,Idle,None,3.67,2.63,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.26,0.05,1.44,243,152,-515,16,8,-515,1,1
2018-07-22,18-58-47.808,Auto,Idle,None,3.66,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,152,-515,16,8,-515,1,1
2018-07-22,18-58-47.842,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,138,-515,16,10,-515,1,1
2018-07-22,18-58-47.858,Auto,Idle,None,3.66,2.6,0.01,0.05,0.33,1.05,NC,NC,0,0,0,0,0,0,13.6,0.2,0.05,1.56,243,138,-515,16,15,-515,1,1
2018-07-22,18-58-47.872,Auto,Idle,None,3.66,2.61,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.56,243,138,-515,16,15,-515,1,1
2018-07-22,18-58-47.888,Auto,Idle,None,3.67,2.62,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.56,243,138,-515,16,15,-515,1,1
2018-07-22,18-58-47.920,Auto,Idle,None,3.66,2.61,0.01,0.05,0.31,1.05,NC,NC,0,0,0,0,0,0,13.6,0.22,0.05,1.44,243,156,-515,16,8,-515,1,1
2018-07-22,18-58-47.934,Auto,Idle,None,3.65,2.59,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.18,0.05,1.56,243,156,-515,16,8,-515,1,1
2018-07-22,18-58-47.952,Auto,Idle,None,3.65,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.45,0.22,0.05,1.56,243,154,-515,16,11,-515,1,1
2018-07-22,18-58-47.982,Auto,Idle,None,3.68,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.9,0.22,0.05,1.56,243,154,-515,16,11,-515,1,1
2018-07-22,18-58-47.998,Auto,Idle,None,3.68,2.61,0.01,0.05,0.32,1.05,NC,NC,0,0,0,0,0,0,13.75,0.24,0.05,1.56,243,154,-515,16,11,-515,1,1
